customer_email,product_name,quantity
anushka.perera@yahoo.com,Laptop - Dell XPS 13,3
nihal.rajapaksha@hotmail.com,Wireless Headphones - Bose QuietComfort,2
sitha.ranasinghe@gmail.com,Smartwatch - Apple Watch Series 7,4
janaka.gunaratne@yahoo.com,Bluetooth Speaker - JBL Flip 5,6
ganesh.silva@gmail.com,4K TV - LG OLED55CX,1
anushka.perera@yahoo.com,Laptop - Dell XPS 13,3
nihal.rajapaksha@hotmail.com,Wireless Headphones - Bose QuietComfort,2
sitha.ranasinghe@gmail.com,Smartwatch - Apple Watch Series 7,4
janaka.gunaratne@yahoo.com,Bluetooth Speaker - JBL Flip 5,6
ganesh.silva@gmail.com,4K TV - LG OLED55CX,1
